C,C,W,W,W,D,D,G,UTIL,PROJ,ACTUAL
Aleksander Barkov,Sean Couturier,Claude Giroux,Jakub Voracek,Travis Konecny,Erik Johnson,Alex Goligoski,Henrik Lundqvist,Oskar Lindblom,30.51,20.0
Sean Couturier,Carl Soderberg,Claude Giroux,Mikko Rantanen,Gabriel Landeskog,Aaron Ekblad,Neal Pionk,Antti Raanta,Travis Konecny,30.49,24.4
Nazem Kadri,Derek Stepan,Jakub Voracek,Mitchell Marner,Clayton Keller,Aaron Ekblad,Mike Matheson,Braden Holtby,Richard Panik,30.47,32.5
Aleksander Barkov,Nazem Kadri,Mitchell Marner,Patrick Marleau,Tyson Jost,Shayne Gostisbehere,Aaron Ekblad,Braden Holtby,J.T. Compher,30.47,32.5
Vincent Trocheck,Nazem Kadri,Jonathan Huberdeau,Mitchell Marner,Patrick Marleau,Morgan Rielly,Oliver Ekman-Larsson,Antti Raanta,Dmitry Orlov,30.47,37.9
Nicklas Backstrom,Mika Zibanejad,Alex Ovechkin,T.J. Oshie,Chris Kreider,Dmitry Orlov,Alex Goligoski,Roberto Luongo,Jesper Fast,30.46,21.7
Auston Matthews,Nolan Patrick,Jakub Voracek,William Nylander,Zach Hyman,John Carlson,Tyson Barrie,Antti Raanta,Oliver Ekman-Larsson,30.46,27.9
Nathan MacKinnon,Evgeny Kuznetsov,Alex Ovechkin,Nick Cousins,Christian Fischer,Shayne Gostisbehere,Oliver Ekman-Larsson,Braden Holtby,Dylan Strome,30.44,31.5
Sean Couturier,Nicklas Backstrom,Claude Giroux,Travis Konecny,Andre Burakovsky,Keith Yandle,Erik Johnson,Antti Raanta,Mike Matheson,30.44,33.9
Nathan MacKinnon,Lars Eller,Mikko Rantanen,Gabriel Landeskog,Devante Smith-Pelly,Morgan Rielly,Erik Johnson,Marc-Andre Fleury,Mike Matheson,30.43,24.3
Vincent Trocheck,Sean Couturier,Claude Giroux,Travis Konecny,Matt Nieto,Shayne Gostisbehere,Keith Yandle,Henrik Lundqvist,Denis Malgin,30.42,31.0
Evgeny Kuznetsov,Mika Zibanejad,Alex Ovechkin,Ryan Spooner,Tom Wilson,Erik Johnson,Jake Gardiner,Marc-Andre Fleury,Jimmy Vesey,30.42,28.8
Vincent Trocheck,Mika Zibanejad,Jonathan Huberdeau,Chris Kreider,Jesper Fast,Ivan Provorov,Mike Matheson,Marc-Andre Fleury,Dmitry Orlov,30.42,32.3
Sean Couturier,Tyler Bozak,Claude Giroux,James van Riemsdyk,Connor Brown,Keith Yandle,Morgan Rielly,Braden Holtby,Dmitry Orlov,30.41,35.5
Auston Matthews,Evgeny Kuznetsov,Alex Ovechkin,William Nylander,Zach Hyman,Neal Pionk,Samuel Girard,Marc-Andre Fleury,Jimmy Vesey,30.41,27.8
Aleksander Barkov,Sean Couturier,Claude Giroux,Travis Konecny,Ryan Spooner,Tyson Barrie,Colin Miller,Roberto Luongo,Jimmy Vesey,30.41,18.2
Vincent Trocheck,Nazem Kadri,Jakub Voracek,Jonathan Huberdeau,Patrick Marleau,Keith Yandle,Brady Skjei,Marc-Andre Fleury,Denis Malgin,30.4,37.8
Vincent Trocheck,Derek Stepan,Jonathan Huberdeau,Clayton Keller,Richard Panik,Tyson Barrie,Aaron Ekblad,Henrik Lundqvist,Jake Gardiner,30.38,33.0
Nathan MacKinnon,J.T. Compher,Alex Ovechkin,Gabriel Landeskog,Tyson Jost,Tyson Barrie,Mike Matheson,Roberto Luongo,Alexander Kerfoot,30.35,14.7
Nicklas Backstrom,J.T. Compher,Alex Ovechkin,T.J. Oshie,Tyson Jost,Shayne Gostisbehere,Morgan Rielly,Marc-Andre Fleury,Alexander Kerfoot,30.33,26.8
Nathan MacKinnon,Auston Matthews,Mikko Rantanen,William Nylander,Zach Hyman,Morgan Rielly,Dmitry Orlov,Antti Raanta,Matt Nieto,30.31,28.9
Evgeny Kuznetsov,Sean Couturier,Claude Giroux,Travis Konecny,Tom Wilson,Morgan Rielly,Colin Miller,Braden Holtby,Blake Comeau,30.3,28.0
Sean Couturier,Mika Zibanejad,Claude Giroux,Jakub Voracek,Travis Konecny,John Carlson,Samuel Girard,Antti Raanta,Jesper Fast,30.28,22.4
Nicklas Backstrom,Nolan Patrick,Jakub Voracek,T.J. Oshie,Andre Burakovsky,Shayne Gostisbehere,Morgan Rielly,Braden Holtby,Ivan Provorov,30.28,41.5
Vincent Trocheck,Auston Matthews,Jonathan Huberdeau,William Nylander,Zach Hyman,Morgan Rielly,Brady Skjei,Marc-Andre Fleury,Blake Comeau,30.26,37.8
Vincent Trocheck,Denis Malgin,Claude Giroux,Jonathan Huberdeau,Wayne Simmonds,Keith Yandle,Tyson Barrie,Roberto Luongo,Jordan Weal,30.25,34.2
Aleksander Barkov,Mika Zibanejad,Evgenii Dadonov,Chris Kreider,Nick Bjugstad,Oliver Ekman-Larsson,Jake Gardiner,Henrik Lundqvist,Brady Skjei,30.25,27.5
Nathan MacKinnon,Nolan Patrick,Mikko Rantanen,Jakub Voracek,Gabriel Landeskog,Erik Johnson,Aaron Ekblad,Antti Raanta,Samuel Girard,30.24,23.9
Sean Couturier,Lars Eller,Claude Giroux,Jakub Voracek,Travis Konecny,Shayne Gostisbehere,Aaron Ekblad,Marc-Andre Fleury,Devante Smith-Pelly,30.23,28.3
Aleksander Barkov,Sean Couturier,Claude Giroux,Evgenii Dadonov,Nick Bjugstad,Brady Skjei,Samuel Girard,Marc-Andre Fleury,Matt Nieto,30.22,25.8
Sean Couturier,Erik Haula,Claude Giroux,James Neal,Travis Konecny,Oliver Ekman-Larsson,Jake Gardiner,Frederik Andersen,Dmitry Orlov,30.21,28.5
Aleksander Barkov,Auston Matthews,William Nylander,Blake Comeau,Matt Nieto,Shayne Gostisbehere,Aaron Ekblad,Braden Holtby,Carl Soderberg,30.2,34.5
Sean Couturier,Nicklas Backstrom,Jakub Voracek,T.J. Oshie,Andre Burakovsky,John Carlson,Mike Matheson,Marc-Andre Fleury,Oskar Lindblom,30.2,25.8
Nathan MacKinnon,Vincent Trocheck,Mikko Rantanen,Gabriel Landeskog,Matt Nieto,John Carlson,Brady Skjei,Antti Raanta,Denis Malgin,30.19,29.9
Vincent Trocheck,Nicklas Backstrom,Jonathan Huberdeau,T.J. Oshie,Andre Burakovsky,Aaron Ekblad,Samuel Girard,Braden Holtby,Derek Stepan,30.15,40.0
Vincent Trocheck,Evgeny Kuznetsov,Alex Ovechkin,Jonathan Huberdeau,Tyson Jost,Oliver Ekman-Larsson,Alex Goligoski,Antti Raanta,Denis Malgin,30.15,38.9
Aleksander Barkov,Auston Matthews,William Nylander,Patrick Marleau,Zach Hyman,Tyson Barrie,Brady Skjei,Henrik Lundqvist,Nazem Kadri,30.15,26.0
Vincent Trocheck,Carl Soderberg,Alex Ovechkin,Jonathan Huberdeau,Matt Nieto,John Carlson,Neal Pionk,Marc-Andre Fleury,Denis Malgin,30.15,31.3
Nathan MacKinnon,Tyler Bozak,Mikko Rantanen,James van Riemsdyk,Connor Brown,Oliver Ekman-Larsson,Erik Johnson,Braden Holtby,Alex Goligoski,30.14,34.5
William Karlsson,Carl Soderberg,Jonathan Marchessault,Alex Tuch,Blake Comeau,Shayne Gostisbehere,Keith Yandle,Braden Holtby,Oliver Ekman-Larsson,30.14,39.5
Evgeny Kuznetsov,Derek Stepan,Alex Ovechkin,Clayton Keller,Tom Wilson,Erik Johnson,Neal Pionk,Roberto Luongo,Brady Skjei,30.13,27.7
Nazem Kadri,Nolan Patrick,Claude Giroux,Jakub Voracek,Mitchell Marner,Tyson Barrie,Aaron Ekblad,Henrik Lundqvist,Patrick Marleau,30.13,26.5
Evgeny Kuznetsov,Nazem Kadri,Alex Ovechkin,Mitchell Marner,Patrick Marleau,Oliver Ekman-Larsson,Brady Skjei,Frederik Andersen,Jimmy Vesey,30.12,38.5
Nathan MacKinnon,Mika Zibanejad,Jakub Voracek,Chris Kreider,Jesper Fast,Keith Yandle,Mike Matheson,Roberto Luongo,Oskar Lindblom,30.12,21.2
Sean Couturier,Nazem Kadri,Mitchell Marner,T.J. Oshie,Patrick Marleau,Morgan Rielly,Ivan Provorov,Marc-Andre Fleury,Andre Burakovsky,30.12,35.8
Sean Couturier,William Karlsson,Claude Giroux,Jonathan Marchessault,Alex Tuch,Oliver Ekman-Larsson,Dmitry Orlov,Roberto Luongo,Matt Nieto,30.12,29.7
