C,C,W,W,W,W,D,D,G,PROJ,ACTUAL
Aleksander Barkov,Derek Stepan,Claude Giroux,Evgenii Dadonov,Clayton Keller,Nick Bjugstad,Shayne Gostisbehere,Neal Pionk,Roberto Luongo,33.27,24.2
Aleksander Barkov,Mika Zibanejad,Mikko Rantanen,Evgenii Dadonov,Gabriel Landeskog,Nick Bjugstad,Shayne Gostisbehere,Alex Goligoski,Henrik Lundqvist,33.21,23.0
Evgeny Kuznetsov,Nolan Patrick,Alex Ovechkin,Mikko Rantanen,Jakub Voracek,Tom Wilson,John Carlson,Ivan Provorov,Roberto Luongo,33.2,27.7
Aleksander Barkov,Sean Couturier,Evgenii Dadonov,Wayne Simmonds,Nick Bjugstad,Jordan Weal,John Carlson,Shayne Gostisbehere,Marc-Andre Fleury,33.2,26.3
Nicklas Backstrom,Mika Zibanejad,Alex Ovechkin,T.J. Oshie,Chris Kreider,Jesper Fast,Shayne Gostisbehere,Tyson Barrie,Frederik Andersen,33.19,29.0
Nathan MacKinnon,Evgeny Kuznetsov,Mikko Rantanen,Gabriel Landeskog,T.J. Oshie,Tom Wilson,Ivan Provorov,Colin Miller,Marc-Andre Fleury,33.18,27.8
Nathan MacKinnon,Nicklas Backstrom,Mikko Rantanen,Evgenii Dadonov,Gabriel Landeskog,Andre Burakovsky,Aaron Ekblad,Ivan Provorov,Roberto Luongo,33.16,31.2
Nathan MacKinnon,Nazem Kadri,Alex Ovechkin,Gabriel Landeskog,Mitchell Marner,Patrick Marleau,Ivan Provorov,Neal Pionk,Frederik Andersen,33.15,33.0
Nicklas Backstrom,William Karlsson,Jonathan Marchessault,Gabriel Landeskog,T.J. Oshie,Alex Tuch,John Carlson,Jake Gardiner,Braden Holtby,33.13,38.5
Sean Couturier,Derek Stepan,Claude Giroux,Jonathan Huberdeau,Clayton Keller,Travis Konecny,Shayne Gostisbehere,Keith Yandle,Antti Raanta,33.12,38.9
Aleksander Barkov,Evgeny Kuznetsov,Alex Ovechkin,Mitchell Marner,Patrick Marleau,Tom Wilson,John Carlson,Jake Gardiner,Antti Raanta,33.12,32.4
Aleksander Barkov,Auston Matthews,Claude Giroux,Evgenii Dadonov,William Nylander,Nick Bjugstad,Keith Yandle,Brady Skjei,Henrik Lundqvist,33.11,34.0
Sean Couturier,Nicklas Backstrom,Alex Ovechkin,Claude Giroux,Travis Konecny,Tom Wilson,John Carlson,Alex Goligoski,Frederik Andersen,33.07,25.0
Nathan MacKinnon,Tyler Bozak,Claude Giroux,Mikko Rantanen,James van Riemsdyk,Connor Brown,John Carlson,Aaron Ekblad,Marc-Andre Fleury,33.06,29.3
Nathan MacKinnon,Sean Couturier,Claude Giroux,William Nylander,Travis Konecny,Zach Hyman,Shayne Gostisbehere,Jake Gardiner,Frederik Andersen,33.06,30.5
Aleksander Barkov,Vincent Trocheck,Claude Giroux,Evgenii Dadonov,Nick Bjugstad,Travis Konecny,Ivan Provorov,Samuel Girard,Marc-Andre Fleury,33.04,25.8
Auston Matthews,Nicklas Backstrom,Claude Giroux,T.J. Oshie,William Nylander,Andre Burakovsky,John Carlson,Shayne Gostisbehere,Frederik Andersen,33.03,39.5
Nathan MacKinnon,Tyler Bozak,Mikko Rantanen,Gabriel Landeskog,Mitchell Marner,James van Riemsdyk,Ivan Provorov,Shea Theodore,Braden Holtby,33.02,38.0
Auston Matthews,Erik Haula,Mikko Rantanen,William Nylander,James Neal,Zach Hyman,John Carlson,Morgan Rielly,Marc-Andre Fleury,33.0,29.8
Evgeny Kuznetsov,J.T. Compher,Alex Ovechkin,Claude Giroux,Tyson Jost,Alexander Kerfoot,John Carlson,Shayne Gostisbehere,Braden Holtby,32.99,32.5
Nathan MacKinnon,Vincent Trocheck,Mikko Rantanen,Gabriel Landeskog,James van Riemsdyk,Connor Brown,Keith Yandle,Morgan Rielly,Antti Raanta,32.96,32.4
Evgeny Kuznetsov,Nicklas Backstrom,Alex Ovechkin,Mikko Rantanen,Gabriel Landeskog,Tom Wilson,Shayne Gostisbehere,Samuel Girard,Frederik Andersen,32.96,29.0
William Karlsson,Nazem Kadri,Claude Giroux,Jonathan Marchessault,Mitchell Marner,Alex Tuch,Morgan Rielly,Aaron Ekblad,Marc-Andre Fleury,32.96,34.8
Aleksander Barkov,Mika Zibanejad,Alex Ovechkin,Evgenii Dadonov,Nick Bjugstad,Jesper Fast,Morgan Rielly,Oliver Ekman-Larsson,Antti Raanta,32.94,25.9
Nathan MacKinnon,Evgeny Kuznetsov,Alex Ovechkin,Mats Zuccarello,Kevin Hayes,Tom Wilson,Shayne Gostisbehere,Neal Pionk,Marc-Andre Fleury,32.94,28.3
Evgeny Kuznetsov,Sean Couturier,Alex Ovechkin,Evgenii Dadonov,Nick Bjugstad,Tom Wilson,Oliver Ekman-Larsson,Mike Matheson,Roberto Luongo,32.89,25.7
Nathan MacKinnon,William Karlsson,Mikko Rantanen,Jonathan Marchessault,William Nylander,Alex Tuch,Morgan Rielly,Oliver Ekman-Larsson,Henrik Lundqvist,32.89,32.5
Auston Matthews,Nicklas Backstrom,Jonathan Marchessault,T.J. Oshie,William Nylander,Zach Hyman,Morgan Rielly,Ivan Provorov,Braden Holtby,32.87,44.5
Evgeny Kuznetsov,Carl Soderberg,Alex Ovechkin,Claude Giroux,Blake Comeau,Matt Nieto,John Carlson,Tyson Barrie,Marc-Andre Fleury,32.83,25.8
Vincent Trocheck,Denis Malgin,Alex Ovechkin,Jonathan Marchessault,Jonathan Huberdeau,Alex Tuch,Morgan Rielly,Aaron Ekblad,Braden Holtby,32.79,45.0
Vincent Trocheck,William Karlsson,Jonathan Marchessault,Jonathan Huberdeau,T.J. Oshie,Alex Tuch,Keith Yandle,Dmitry Orlov,Marc-Andre Fleury,32.79,39.3
Aleksander Barkov,William Karlsson,Jakub Voracek,Jonathan Marchessault,Alex Tuch,Oskar Lindblom,Shayne Gostisbehere,Tyson Barrie,Marc-Andre Fleury,32.77,26.3
Aleksander Barkov,Nazem Kadri,Claude Giroux,Evgenii Dadonov,Nick Bjugstad,Patrick Marleau,John Carlson,Aaron Ekblad,Antti Raanta,32.74,28.4
Nathan MacKinnon,Sean Couturier,Claude Giroux,Evgenii Dadonov,Nick Bjugstad,Travis Konecny,Erik Johnson,Mike Matheson,Antti Raanta,32.73,27.9
Aleksander Barkov,Erik Haula,Mikko Rantanen,Evgenii Dadonov,James Neal,Nick Bjugstad,Erik Johnson,Dmitry Orlov,Braden Holtby,32.72,28.5
Auston Matthews,William Karlsson,Jonathan Marchessault,Mitchell Marner,William Nylander,Zach Hyman,Shayne Gostisbehere,Dmitry Orlov,Marc-Andre Fleury,32.71,33.3
Mika Zibanejad,Nazem Kadri,Mikko Rantanen,Mitchell Marner,Chris Kreider,Patrick Marleau,John Carlson,Tyson Barrie,Frederik Andersen,32.66,27.0
Sean Couturier,Nazem Kadri,Claude Giroux,Mikko Rantanen,Travis Konecny,Patrick Marleau,Morgan Rielly,Oliver Ekman-Larsson,Frederik Andersen,32.57,27.5
Nathan MacKinnon,Mika Zibanejad,Gabriel Landeskog,Clayton Keller,Chris Kreider,Jesper Fast,Tyson Barrie,Aaron Ekblad,Roberto Luongo,32.52,18.2
Auston Matthews,Derek Stepan,Jonathan Marchessault,Clayton Keller,William Nylander,Richard Panik,Shayne Gostisbehere,Erik Johnson,Braden Holtby,32.52,41.0
William Karlsson,Nazem Kadri,Jakub Voracek,Jonathan Marchessault,Mitchell Marner,Patrick Marleau,Shayne Gostisbehere,Keith Yandle,Henrik Lundqvist,32.48,36.0
Nicklas Backstrom,William Karlsson,Mikko Rantanen,Jonathan Marchessault,T.J. Oshie,Andre Burakovsky,Tyson Barrie,Oliver Ekman-Larsson,Roberto Luongo,32.41,28.7
Evgeny Kuznetsov,Sean Couturier,Alex Ovechkin,Wayne Simmonds,Travis Konecny,Tom Wilson,Shayne Gostisbehere,Morgan Rielly,Antti Raanta,32.39,30.4
William Karlsson,Derek Stepan,Mikko Rantanen,Jonathan Marchessault,Clayton Keller,Alex Tuch,John Carlson,Aaron Ekblad,Roberto Luongo,32.37,29.2
Nathan MacKinnon,Evgeny Kuznetsov,Alex Ovechkin,Clayton Keller,Richard Panik,Tom Wilson,Erik Johnson,Ivan Provorov,Frederik Andersen,32.37,35.0
Vincent Trocheck,Sean Couturier,Claude Giroux,Travis Konecny,Mats Zuccarello,Kevin Hayes,Shayne Gostisbehere,Oliver Ekman-Larsson,Roberto Luongo,32.35,28.7
Aleksander Barkov,William Karlsson,Jonathan Marchessault,Evgenii Dadonov,James Neal,Alex Tuch,Oliver Ekman-Larsson,Erik Johnson,Roberto Luongo,32.32,31.2
Nathan MacKinnon,Aleksander Barkov,Evgenii Dadonov,Clayton Keller,Nick Bjugstad,Richard Panik,Morgan Rielly,Erik Johnson,Henrik Lundqvist,32.32,25.0
Aleksander Barkov,Evgeny Kuznetsov,Evgenii Dadonov,Nick Bjugstad,Tom Wilson,Max Domi,John Carlson,Morgan Rielly,Braden Holtby,32.31,28.5
